address,state,city,zip,building_sq_ft,hvacc_cooling_code,hvacc_heating_code,foundation_code,fl_fema_flood_zone,tax_assessor_id,average_household_income,vintage
420 PARKSIDE RD,PA,CAMP HILL,17011,1667,6.0,10.0,,X,455144872,125655,2023B
418 PARKSIDE RD,PA,CAMP HILL,17011,1891,13.0,10.0,,X,455144876,125655,2023B
416 PARKSIDE RD,PA,CAMP HILL,17011,2626,6.0,10.0,,X,455144880,125655,2023B
414 PARKSIDE RD,PA,CAMP HILL,17011,1652,6.0,10.0,13,X,455144884,125655,2023B
412 PARKSIDE RD,PA,CAMP HILL,17011,2059,6.0,10.0,,X,455144888,125655,2023B
410 PARKSIDE RD,PA,CAMP HILL,17011,1862,13.0,10.0,,X,455144892,125655,2023B
408 PARKSIDE RD,PA,CAMP HILL,17011,2357,13.0,10.0,,X,455144896,125655,2023B
406 PARKSIDE RD,PA,CAMP HILL,17011,1872,13.0,4.0,,X,455144900,125655,2023B
2219 PARKSIDE RD,PA,CAMP HILL,17011,1680,13.0,4.0,,X,455144904,125655,2023B
2215 PARKSIDE RD,PA,CAMP HILL,17011,2187,13.0,4.0,,X,455144908,125655,2023B
2209 PARKSIDE RD,PA,CAMP HILL,17011,1493,13.0,4.0,,X,455144912,125655,2023B
2203 PARKSIDE RD,PA,CAMP HILL,17011,1680,13.0,4.0,,X,455144916,125655,2023B
2201 PARKSIDE RD,PA,CAMP HILL,17011,1493,13.0,4.0,,X,455144920,125655,2023B
2109 PARKSIDE RD,PA,CAMP HILL,17011,1680,13.0,4.0,,X,455144924,125655,2023B
2103 PARKSIDE RD,PA,CAMP HILL,17011,1493,13.0,4.0,,X,455144928,125655,2023B
2101 PARKSIDE RD,PA,CAMP HILL,17011,1680,13.0,4.0,,X,455144932,125655,2023B
433 PARKVIEW CT,PA,CAMP HILL,17011,1251,13.0,10.0,,X,455144936,125655,2023B
431 PARKSIDE RD,PA,CAMP HILL,17011,1751,6.0,4.0,,X,455144940,125655,2023B
429 PARKSIDE RD,PA,CAMP HILL,17011,1733,13.0,10.0,,X,455144948,125655,2023B
427 PARKSIDE RD,PA,CAMP HILL,17011,1975,6.0,10.0,,X,455144960,125655,2023B
425 PARKSIDE RD,PA,CAMP HILL,17011,1727,13.0,4.0,,X,455144972,125655,2023B
423 PARKSIDE RD,PA,CAMP HILL,17011,2035,6.0,16.0,,X,455144980,125655,2023B
421 PARKSIDE RD,PA,CAMP HILL,17011,1976,6.0,10.0,,X,455144988,125655,2023B
419 PARKSIDE RD,PA,CAMP HILL,17011,1363,13.0,10.0,,X,455144996,125655,2023B
417 PARKSIDE RD,PA,CAMP HILL,17011,1960,6.0,10.0,,X,455145000,125655,2023B
415 PARKSIDE RD,PA,CAMP HILL,17011,1643,6.0,10.0,,X,455145004,125655,2023B
413 PARKSIDE RD,PA,CAMP HILL,17011,1443,13.0,10.0,,X,455145008,125655,2023B
411 PARKSIDE RD,PA,CAMP HILL,17011,2041,13.0,10.0,13,X,455145012,125655,2023B
409 PARKSIDE RD,PA,CAMP HILL,17011,1593,13.0,4.0,,X,455145016,125655,2023B
407 PARKSIDE RD,PA,CAMP HILL,17011,1968,13.0,4.0,,X,455145020,125655,2023B
2202 PARKSIDE RD,PA,CAMP HILL,17011,1493,13.0,4.0,,X,455145024,125655,2023B
2200 PARKSIDE RD,PA,CAMP HILL,17011,1493,13.0,4.0,,X,455145028,125655,2023B
408 APPLETREE RD,PA,CAMP HILL,17011,1493,13.0,4.0,,X,455145032,125655,2023B
410 APPLETREE RD,PA,CAMP HILL,17011,1493,13.0,4.0,,X,455145036,125655,2023B
412 APPLETREE RD,PA,CAMP HILL,17011,1680,13.0,4.0,,X,455145040,125655,2023B
414 APPLETREE RD,PA,CAMP HILL,17011,1493,13.0,4.0,,X,455145044,125655,2023B
416 APPLETREE RD,PA,CAMP HILL,17011,1680,13.0,4.0,,X,455145048,125655,2023B
418 APPLETREE RD,PA,CAMP HILL,17011,1493,13.0,4.0,,X,455145052,125655,2023B
420 APPLETREE RD,PA,CAMP HILL,17011,1867,13.0,4.0,,X,455145056,125655,2023B
422 APPLETREE RD,PA,CAMP HILL,17011,1680,13.0,4.0,,X,455145060,125655,2023B
424 APPLETREE RD,PA,CAMP HILL,17011,1680,13.0,4.0,,X,455145064,125655,2023B
426 APPLETREE RD,PA,CAMP HILL,17011,1493,13.0,4.0,,X,455145068,125655,2023B
428 APPLETREE RD,PA,CAMP HILL,17011,1867,6.0,4.0,,X,455145072,125655,2023B
430 APPLETREE RD,PA,CAMP HILL,17011,1680,6.0,4.0,,X,455145076,125655,2023B
432 APPLETREE RD,PA,CAMP HILL,17011,1936,6.0,10.0,,X,455145080,125655,2023B
434 APPLETREE RD,PA,CAMP HILL,17011,1280,13.0,4.0,,X,455145084,125655,2023B
436 APPLETREE RD,PA,CAMP HILL,17011,1674,13.0,8.0,,X,455145088,125655,2023B
438 APPLETREE RD,PA,CAMP HILL,17011,1982,6.0,4.0,,X,455145104,125655,2023B
439 APPLETREE RD,PA,CAMP HILL,17011,2009,6.0,10.0,,X,455145112,125655,2023B
437 APPLETREE RD,PA,CAMP HILL,17011,1661,13.0,10.0,,X,455145120,125655,2023B
2106 RIDGE RD,PA,CAMP HILL,17011,1712,13.0,10.0,,X,455145128,125655,2023B
2102 RIDGE RD,PA,CAMP HILL,17011,1956,13.0,10.0,,X,455145140,125655,2023B
431 APPLETREE RD,PA,CAMP HILL,17011,1650,13.0,10.0,,X,455145148,125655,2023B
429 APPLETREE RD,PA,CAMP HILL,17011,1680,13.0,4.0,,X,455145156,125655,2023B
427 APPLETREE RD,PA,CAMP HILL,17011,2064,13.0,4.0,,X,455145164,125655,2023B
