address,state,city,zip,building_sq_ft,hvacc_cooling_code,hvacc_heating_code,foundation_code,fl_fema_flood_zone,tax_assessor_id,average_household_income,vintage
241 W WILLOW ST,PA,CARLISLE,17013,1024,13.0,4.0,,X,455293180,99317,2023B
239 W WILLOW ST,PA,CARLISLE,17013,1024,6.0,4.0,,X,455293196,99317,2023B
237 W WILLOW ST,PA,CARLISLE,17013,1056,6.0,4.0,,X,455293204,99317,2023B
235 W WILLOW ST,PA,CARLISLE,17013,1056,13.0,4.0,,X,455293212,99317,2023B
231 W WILLOW ST,PA,CARLISLE,17013,1475,6.0,4.0,,X,455293224,99317,2023B
424 S WEST ST,PA,CARLISLE,17013,3060,6.0,16.0,,X,455293244,99317,2023B
412 S WEST ST,PA,CARLISLE,17013,2226,13.0,10.0,,X,455293256,99317,2023B
408 S WEST ST,PA,CARLISLE,17013,2080,6.0,10.0,,X,455293264,99317,2023B
404 S WEST ST,PA,CARLISLE,17013,3043,6.0,10.0,,X,455293508,99317,2023B
226 W BALTIMORE ST,PA,CARLISLE,17013,1374,13.0,4.0,,X,455293528,99317,2023B
232 W BALTIMORE ST,PA,CARLISLE,17013,2037,6.0,4.0,,X,455293548,99317,2023B
236 W BALTIMORE ST,PA,CARLISLE,17013,1774,13.0,4.0,,X,455293564,99317,2023B
250 W BALTIMORE ST,PA,CARLISLE,17013,1280,6.0,4.0,,X,455293580,99317,2023B
432 ARCH ST,PA,CARLISLE,17013,1524,6.0,4.0,,X,455293592,99317,2023B
428 ARCH ST,PA,CARLISLE,17013,1125,6.0,10.0,,X,455293608,99317,2023B
426 ARCH ST,PA,CARLISLE,17013,1124,6.0,4.0,,X,455293772,99317,2023B
307 ARCH ST,PA,CARLISLE,17013,1248,6.0,4.0,,X,455293812,99317,2023B
309 ARCH ST,PA,CARLISLE,17013,1274,6.0,10.0,,X,455293824,99317,2023B
311 ARCH ST,PA,CARLISLE,17013,1252,6.0,4.0,,X,455293836,99317,2023B
313 ARCH ST,PA,CARLISLE,17013,1076,6.0,4.0,,X,455293844,99317,2023B
315 ARCH ST,PA,CARLISLE,17013,1208,6.0,4.0,,X,455293848,99317,2023B
317 ARCH ST,PA,CARLISLE,17013,1208,6.0,10.0,,X,455293856,99317,2023B
319 ARCH ST,PA,CARLISLE,17013,1208,6.0,10.0,,X,455294328,99317,2023B
321 ARCH ST,PA,CARLISLE,17013,1180,13.0,4.0,,X,455294340,99317,2023B
330 S PITT ST,PA,CARLISLE,17013,1360,13.0,10.0,,X,455294348,99317,2023B
328 S PITT ST,PA,CARLISLE,17013,1315,13.0,4.0,,X,455294352,99317,2023B
324 S PITT ST,PA,CARLISLE,17013,1510,13.0,4.0,,X,455294356,99317,2023B
322 S PITT ST,PA,CARLISLE,17013,1440,6.0,4.0,,X,455294360,99317,2023B
316 S PITT ST,PA,CARLISLE,17013,2172,6.0,13.0,,X,455294364,99317,2023B
312 S PITT ST,PA,CARLISLE,17013,1584,13.0,4.0,,X,455294612,99317,2023B
310 S PITT ST,PA,CARLISLE,17013,988,6.0,16.0,,X,455294632,99317,2023B
308 S PITT ST,PA,CARLISLE,17013,920,6.0,10.0,,X,455294652,99317,2023B
304 S PITT ST,PA,CARLISLE,17013,1834,6.0,2.0,,X,455294672,99317,2023B
302 S PITT ST,PA,CARLISLE,17013,1868,6.0,4.0,,X,455294688,99317,2023B
311 S PITT ST,PA,CARLISLE,17013,1616,6.0,10.0,,X,455294840,99317,2023B
315 S PITT ST,PA,CARLISLE,17013,2124,6.0,10.0,,X,455294844,99317,2023B
317 S PITT ST,PA,CARLISLE,17013,1608,6.0,10.0,,X,455294852,99317,2023B
321 S PITT ST,PA,CARLISLE,17013,1519,13.0,4.0,,X,455294856,99317,2023B
323 S PITT ST,PA,CARLISLE,17013,1519,6.0,4.0,,X,455294860,99317,2023B
325 S PITT ST,PA,CARLISLE,17013,1650,6.0,4.0,,X,455294864,99317,2023B
57 W BALTIMORE ST,PA,CARLISLE,17013,1168,6.0,16.0,,X,455294868,99317,2023B
55 W BALTIMORE ST,PA,CARLISLE,17013,996,6.0,2.0,,X,455294872,99317,2023B
53 W BALTIMORE ST,PA,CARLISLE,17013,792,6.0,4.0,,X,455294876,99317,2023B
51 W BALTIMORE ST,PA,CARLISLE,17013,712,6.0,4.0,,X,455294972,99317,2023B
47 W BALTIMORE ST,PA,CARLISLE,17013,1328,6.0,2.0,,X,455294976,99317,2023B
45 W BALTIMORE ST,PA,CARLISLE,17013,1464,6.0,4.0,,X,455294980,99317,2023B
43 W BALTIMORE ST,PA,CARLISLE,17013,1540,6.0,4.0,,X,455294984,99317,2023B
29 W BALTIMORE ST,PA,CARLISLE,17013,1572,6.0,4.0,,X,455294988,99317,2023B
314 S HANOVER ST,PA,CARLISLE,17013,2960,6.0,4.0,,X,455295004,99317,2023B
24 WALNUT ST,PA,CARLISLE,17013,1240,6.0,10.0,,X,455295264,99317,2023B
26 WALNUT ST,PA,CARLISLE,17013,1300,13.0,4.0,,X,455295272,99317,2023B
44 WALNUT ST,PA,CARLISLE,17013,1298,6.0,4.0,,X,455295292,99317,2023B
46 WALNUT ST,PA,CARLISLE,17013,1438,6.0,4.0,,X,455295304,99317,2023B
48 WALNUT ST,PA,CARLISLE,17013,1406,6.0,4.0,,X,455295548,99317,2023B
50 WALNUT ST,PA,CARLISLE,17013,1298,6.0,4.0,,X,455295552,99317,2023B
56 WALNUT ST,PA,CARLISLE,17013,2304,6.0,4.0,,X,455295556,99317,2023B
64 WALNUT ST,PA,CARLISLE,17013,1576,6.0,4.0,,X,455295560,99317,2023B
70 WALNUT ST,PA,CARLISLE,17013,1840,6.0,4.0,,X,455295572,99317,2023B
243 ARCH ST,PA,CARLISLE,17013,1656,13.0,8.0,,X,455295784,99317,2023B
245 ARCH ST,PA,CARLISLE,17013,1656,13.0,8.0,,X,455295804,99317,2023B
117 S ORANGE ST,PA,CARLISLE,17013,1726,6.0,10.0,,X,455295824,99317,2023B
121 S ORANGE ST,PA,CARLISLE,17013,1132,6.0,10.0,,X,455295844,99317,2023B
175 S ORANGE ST,PA,CARLISLE,17013,1634,13.0,4.0,,X,455295860,99317,2023B
