address,state,city,zip,building_sq_ft,hvacc_cooling_code,hvacc_heating_code,foundation_code,fl_fema_flood_zone,tax_assessor_id,average_household_income,vintage
1609 BERRYHILL ST,PA,HARRISBURG,17104,1908,1.0,,,X,455532476,65296.0,2023B
1611 BERRYHILL ST,PA,HARRISBURG,17104,1890,,,,X,455532480,65296.0,2023B
1613 BERRYHILL ST,PA,HARRISBURG,17104,1890,,,,X,455532484,65296.0,2023B
1615 BERRYHILL ST,PA,HARRISBURG,17104,1890,,,,X,455532488,65296.0,2023B
1617 BERRYHILL ST,PA,HARRISBURG,17104,1890,,,,X,455532492,65296.0,2023B
1623 BERRYHILL ST,PA,HARRISBURG,17104,1890,,,,X,455532504,65296.0,2023B
1629 BERRYHILL ST,PA,HARRISBURG,17104,1890,,,,X,455532512,65296.0,2023B
1631 BERRYHILL ST,PA,HARRISBURG,17104,1890,,,,X,455532516,65296.0,2023B
1633 BERRYHILL ST,PA,HARRISBURG,17104,1890,,,,X,455532520,65296.0,2023B
1635 BERRYHILL ST,PA,HARRISBURG,17104,1890,,,,X,455532524,65296.0,2023B
1637 BERRYHILL ST,PA,HARRISBURG,17104,1908,,,,X,455532528,65296.0,2023B
1639 BERRYHILL ST,PA,HARRISBURG,17104,1890,,,,X,455532532,65296.0,2023B
1641 BERRYHILL ST,PA,HARRISBURG,17104,1890,,,,X,455532536,65296.0,2023B
1643 BERRYHILL ST,PA,HARRISBURG,17104,2988,,,,X,455532540,65296.0,2023B
1645 BERRYHILL ST,PA,HARRISBURG,17104,1890,,,,X,455532544,65296.0,2023B
1600 NAUDAIN ST,PA,HARRISBURG,17104,1259,,,,X,455532548,65296.0,2023B
1602 NAUDAIN ST,PA,HARRISBURG,17104,1140,,,,X,455532552,65296.0,2023B
1604 NAUDAIN ST,PA,HARRISBURG,17104,1140,,,,X,455532556,65296.0,2023B
1606 NAUDAIN ST,PA,HARRISBURG,17104,1140,,,,X,455532560,65296.0,2023B
1608 NAUDAIN ST,PA,HARRISBURG,17104,1397,,,,X,455532564,65296.0,2023B
1610 NAUDAIN ST,PA,HARRISBURG,17104,1140,,,,X,455532568,65296.0,2023B
1612 NAUDAIN ST,PA,HARRISBURG,17104,1140,,,,X,455532572,65296.0,2023B
1614 NAUDAIN ST,PA,HARRISBURG,17104,1158,,,,X,455532576,65296.0,2023B
1616 NAUDAIN ST,PA,HARRISBURG,17104,1140,,,,X,455532580,65296.0,2023B
1618 NAUDAIN ST,PA,HARRISBURG,17104,1140,,,,X,455532584,65296.0,2023B
1620 NAUDAIN ST,PA,HARRISBURG,17104,1140,,,,X,455532588,65296.0,2023B
1622 NAUDAIN ST,PA,HARRISBURG,17104,1140,,,,X,455532592,65296.0,2023B
1624 NAUDAIN ST,PA,HARRISBURG,17104,1140,,,,X,455532596,65296.0,2023B
1626 NAUDAIN ST,PA,HARRISBURG,17104,1140,,,,X,455532600,65296.0,2023B
1628 NAUDAIN ST,PA,HARRISBURG,17104,1140,,,,X,455532604,65296.0,2023B
1630 NAUDAIN ST,PA,HARRISBURG,17104,1140,,,,X,455532608,65296.0,2023B
1632 NAUDAIN ST,PA,HARRISBURG,17104,1140,,,,X,455532612,65296.0,2023B
1634 NAUDAIN ST,PA,HARRISBURG,17104,1140,,,,X,455532616,65296.0,2023B
1636 NAUDAIN ST,PA,HARRISBURG,17104,1140,,,,X,455532620,65296.0,2023B
1638 NAUDAIN ST,PA,HARRISBURG,17104,1158,,,,X,455532624,65296.0,2023B
1640 NAUDAIN ST,PA,HARRISBURG,17104,1140,,,,X,455532628,65296.0,2023B
1642 NAUDAIN ST,PA,HARRISBURG,17104,1292,,,,X,455532632,65296.0,2023B
523 S 16TH ST,PA,HARRISBURG,17104,1170,,,,X,455532636,65296.0,2023B
525 S 16TH ST,PA,HARRISBURG,17104,1140,,,,X,455532640,65296.0,2023B
527 S 16TH ST,PA,HARRISBURG,17104,840,,,,X,455532644,65296.0,2023B
529 S 16TH ST,PA,HARRISBURG,17104,1140,,,,X,455532648,65296.0,2023B
531 S 16TH ST,PA,HARRISBURG,17104,1224,,,,X,455532652,65296.0,2023B
533 S 16TH ST,PA,HARRISBURG,17104,1170,,,,X,455532656,65296.0,2023B
535 S 16TH ST,PA,HARRISBURG,17104,1170,,,,X,455532660,65296.0,2023B
537 S 16TH ST,PA,HARRISBURG,17104,1140,,,,X,455532664,65296.0,2023B
539 S 16TH ST,PA,HARRISBURG,17104,924,,,,X,455532668,65296.0,2023B
541 S 16TH ST,PA,HARRISBURG,17104,1140,,,,X,455532672,65296.0,2023B
543 S 16TH ST,PA,HARRISBURG,17104,1060,,,,X,455532676,65296.0,2023B
545 S 16TH ST,PA,HARRISBURG,17104,1170,,,,X,455532680,65296.0,2023B
1609 NAUDAIN ST,PA,HARRISBURG,17104,1246,,,,X,455532684,65296.0,2023B
1611 NAUDAIN ST,PA,HARRISBURG,17104,1148,,,,X,455532688,65296.0,2023B
1613 NAUDAIN ST,PA,HARRISBURG,17104,1148,,,,X,455532692,65296.0,2023B
1615 NAUDAIN ST,PA,HARRISBURG,17104,1148,,,,X,455532696,65296.0,2023B
